%-)	User has been staring at a green screen for 15 hours straight.  -)	User has been staring at a green screen for 15 hours straight.

(-:	User is left handed.  -:	User is left handed.

(8-o	It's Mr. Bill!  8-o	It's Mr. Bill!

(:I	User is an egghead.  :I	User is an egghead.

*:o)	And Bozo the Clown!  :o)	And Bozo the Clown!

*<:-)	User is wearing a Santa Claus Hat.  <:-)	User is wearing a Santa Claus Hat.

+-:-)	User is the Pope or holds some other religious office.  -:-)	User is the Pope or holds some other religious office.

,-)	Ditto...but he's winking.  -)	Ditto...but he's winking.

,:-)	Same thing...other side.  :-)	Same thing...other side.

-6%	User is braindead.  6%	User is braindead.

-:-(	Real punk rockers don't smile.  :-(	Real punk rockers don't smile.

-:-)	User is a punk rocker.  :-)	User is a punk rocker.

-=* :-)	User is a TeX wizard.  =* :-)	User is a TeX wizard.

.-)	User only has one eye.  -)	User only has one eye.

2MFM	To much for me  MFM	To much for me

2U2	To you too  U2	To you too

3:[	Mean Pet smiley.  :[	Mean Pet smiley.

3:]	Pet smiley.  :]	Pet smiley.

4AYN	For all you know  AYN	For all you know

4COL	For crying out loud  COL	For crying out loud

4SALE	For sale  SALE	For sale

4U	For you  U	For you

8 :-)	User is a wizard.   :-)	User is a wizard.

8 :-I	Net.unix-wizards   :-I	Net.unix-wizards

8-)	User is wearing sunglasses.  -)	User is wearing sunglasses.

8:-)	User is a little girl.  :-)	User is a little girl.

:'-(	User is crying.  '-(	User is crying.

:'-)	User is so happy, s/he is crying.  '-)	User is so happy, s/he is crying.

:(	Sad.  (	Sad.

:)	Happy.  )	Happy.

:*	Kisses.  *	Kisses.

:*)	User is drunk.  *)	User is drunk.

:,(	Crying.  ,(	Crying.

:-#	User wears braces.  -#	User wears braces.

:-&	User is tongue tied.  -&	User is tongue tied.

:-(	boo hoo  -(	boo hoo

:-)	ha ha  -)	ha ha

:-)-8	User is a Big girl.  -)-8	User is a Big girl.

:-)~	User drools.  -)~	User drools.

:-*	User just ate something sour.  -*	User just ate something sour.

:-/	User is skeptical.  -/	User is skeptical.

:-0	No Yelling!(Quiet Lab)  -0	No Yelling!(Quiet Lab)

:-7	User juust made a wry statement.  -7	User juust made a wry statement.

:-9	User is licking his/her lips.  -9	User is licking his/her lips.

:-:	Mutant smiley; the invisible smiley.  -:	Mutant smiley; the invisible smiley.

:->	hey hey  ->	hey hey

:-?	User smokes a pipe.  -?	User smokes a pipe.

:-@	User is screaming.  -@	User is screaming.

:-C	User is really bummed.  -C	User is really bummed.

:-D	User is laughing (at you!)  -D	User is laughing (at you!)

:-E	Bucktoothed vampire.  -E	Bucktoothed vampire.

:-F	Bucktoothed vampire with one tooth missing.  -F	Bucktoothed vampire with one tooth missing.

:-I	hmmm  -I	hmmm

:-O	oops  -O	oops

:-P	nyahhhh!  -P	nyahhhh!

:-Q	User is a smoker.  -Q	User is a smoker.

:-S	User just made an incoherent statement.  -S	User just made an incoherent statement.

:-X	User's lips are sealed.  -X	User's lips are sealed.

:-[	User is a vampire.  -[	User is a vampire.

:-`	User spitting out its chewing tobacco.  -`	User spitting out its chewing tobacco.

:-o	Uh oh!  -o	Uh oh!

:-{)	User has a mustache.  -{)	User has a mustache.

:-{}	User wears lipstick.  -{}	User wears lipstick.

:-~)	User has a cold.  -~)	User has a cold.

::-)	User wears normal glasses.  :-)	User wears normal glasses.

:<	What?  <	What?

:<)	User is from an Ivy League School.  <)	User is from an Ivy League School.

:=)	User has two noses.  =)	User has two noses.

:>	What?  >	What?

:@	What?  @	What?

:C	What?  C	What?

:D	Laughter.  D	Laughter.

:I	Hmmm...  I	Hmmm...

:O	Yelling.  O	Yelling.

:Q	What?  Q	What?

:[	Real Downer.  [	Real Downer.

:]	Gleep...a friendly midget smiley who will gladly be your friend.  ]	Gleep...a friendly midget smiley who will gladly be your friend.

:^)	User has a broken nose.  ^)	User has a broken nose.

:_)	User's nose is sliding off of his face.  _)	User's nose is sliding off of his face.

:v)	User has a broken nose, but it's the other way.  v)	User has a broken nose, but it's the other way.

:{	What?  {	What?

:}	What should we call these? (what?)  }	What should we call these? (what?)

;-)	Winky smiley. User just made a flirtatious and/or sarcastic remark.More of a "don't hit me for what I just said" smiley.  -)	Winky smiley. User just made a flirtatious and/or sarcastic remark.More of a "don't hit me for what I just said" smiley.

<:-I	User is a dunce.  :-I	User is a dunce.

<|-(	User is Chinese and doesn't like these kind of jokes.  |-(	User is Chinese and doesn't like these kind of jokes.

<|-)	User is Chinese.  |-)	User is Chinese.

=)	Variation on a theme...  )	Variation on a theme...

=))	Full of laughing  ))	Full of laughing

=:-)	User is a hosehead.  :-)	User is a hosehead.

=W=	Whatever  W=	Whatever

>:->	User just made a really devilish remark.  :->	User just made a really devilish remark.

>;->	Winky and devil combined. A very lewd remark was just made.  ;->	Winky and devil combined. A very lewd remark was just made.

>U	Screw you!  U	Screw you!

?	Huh?  	Huh?

?4U	Question for you  4U	Question for you

@:-)	User is wearing a turban.  :-)	User is wearing a turban.

@=	User is pro-nuclear war.  =	User is pro-nuclear war.

A/S/L	Age/Sex/Location  /S/L	Age/Sex/Location

AAMOF	As a matter of fact  AMOF	As a matter of fact

ABFL	A big fat lady  BFL	A big fat lady

ABT	About  BT	About

ADN	Any day now  DN	Any day now

AFAIC	As far as I'm concerned  FAIC	As far as I'm concerned

AFAICS	As far as I can see  FAICS	As far as I can see

AFAICT	As far as I can tell  FAICT	As far as I can tell

AFAIK	As far as I know  FAIK	As far as I know

AFAYC	As far as you're concerned  FAYC	As far as you're concerned

